hwcode,name,wdt,ptr_usbdl,ptr_da
0x6572,,0x10007000,0x40ba68,0x40befc
0x6580,,0x10007000,0xb60c,0xba94
0x6582,,0x10007000,0xa5fc,0xaa84
0x6592,,0x10007000,0xa564,0xa9ec
0x6595,,0x10007000,0xb218,0xb6a0
0x321,,0x10007000,0x95f8,0x9a94
0x335,,0x10007000,0x9608,0x9aa4
0x699,,0x10007000,0xdf1c,0xe3e8
0x337,,0x10007000,0x9668,0x9b04
0x326,,0x10007000,0x9a6c,0x9f14
0x551,,0x10007000,0x9c2c,0xa0e8
0x717,,0x10007000,0xbc8c,0xc158
0x690,,0x10007000,0xd66c,0xdb38
0x766,,0x10007000,0xbdc0,0xc28c
0x707,,0x10007000,0xc190,0xc650
0x788,,0x10007000,0xdebc,0xe388
0x725,,0x10007000,0xe04c,0xe50c
0x813,,0x10007000,0xe2a4,0xe764
0x6795,,0x10007000,0x978c,0x9c28
0x279,,0x10007000,0x9eac,0xa354
0x816,,0x10007000,0xe6b8,0xebbc
0x8127,,0x10007000,0xb2b8,0xb740
0x8163,,0x10007000,0xc12c,0xc5c8
0x8167,,0x10007000,0xd2e4,0xd7ac
0x8172,,0x10007000,0xa0e4,0xa580
0x8695,,0x10007000,0xbeec,0xc3f8
0x886,,0x10007000,0xea78,0xef38
0x562,,0x10007000,0xf5ac,0xfa78
0x950,,0x10007000,0xe79c,0xec5c
0x959,,0x10007000,0xe8d0,0xed90
0x989,,0x10007000,0xdfe0,0xe4a0
0x996,,0x10007000,0xea64,0xef24
0x8512,,0x10007000,0xcc44,0xd194
0x8590,,0x10007000,0xbbe4,0xc06c
